NAME	cluster dominant cell type	X	Y
TYPE	group	numeric	numeric
512	CD4+ Treg cell	4.582319725565201	2.309584098580606
513	CD8+ PD1+ T cell	-0.8094528961057021	3.536025246640117
514	CD8+ PD1+ T cell	0.27247059535010565	2.907065410365119
515	CD4+ T cell	5.621591235701603	0.4096601882740084
516	CD8+ PD1+ T cell	-2.079836115747351	4.492439074786778
517	CD8+ PD1+ T cell	-0.6827045094802122	2.316116115386813
519	CD4+ T cell	4.1746816348368405	0.07726957020034245
520	CD8+ PD1+ T cell	-0.8115581939259269	3.556923940387018
521	CD4+ Treg cell	4.7640759567567015	1.3365596641891007
523	CD4+ T cell	2.82055562133798	-3.0599575539714925
524	CD8+ PD1+ T cell	-0.44657536837308176	2.7193909767015287
525	CD8+ GNLY+ T cell	-4.381614539602557	0.2394673098558681
526	CD4+ T cell	3.393449146393248	-1.1477010118136965
528	CD8+ PD1+ T cell	0.4950712778400612	3.8452833893937552
530	CD8+ PD1+ T cell	0.8259107262587475	3.633095714408221
531	CD8+ PD1+ T cell	-0.7088710132698843	3.683126431626807
532	CD4+ Treg cell	4.040294582069436	2.8195610541578278
533	CD4+ Treg cell	4.363371338958729	2.656426330969342
535	CD8+ PD1+ T cell	-1.003829022897118	2.259515837368503
536	CD8+ PD1+ T cell	-0.4595146631971825	4.899508573815254
538	CD8+ GNLY+ T cell	-4.736898008794273	-0.11872605025789512
539	CD8+ PD1+ T cell	-1.1686129423254705	2.922054551855825
540	CD8+ PD1+ T cell	-0.22524805921754898	3.4977182231510047
541	CD8+ PD1+ T cell	-0.17945187224144155	2.487161931956726
542	CD4+ Treg cell	5.82347201974661	0.4017105962702033
543	CD8+ PD1+ T cell	-0.43463924346080063	2.5045609093398506
545	CD8+ PD1+ T cell	-1.2556587322676744	3.6904825418703315
546	CD8+ PD1+ T cell	-1.0867593210090536	3.410094622491889
547	CD8+ PD1+ T cell	1.0702150065174962	3.5669654830455717
548	CD4+ Treg cell	4.16464039706584	2.742366040817623
550	CD8+ PD1+ T cell	-0.9554907808437747	4.363105741065544
551	CD8+ PD1+ T cell	-1.4218119674427054	3.1356953399735112
552	CD4+ Treg cell	4.84607334339018	1.455247916969719
553	CD4+ Treg cell	5.824320724723715	1.1660632396002408
555	CD8+ PD1+ T cell	-0.6193650693220505	3.7932911142405343
559	CD4+ Treg cell	5.874525287648563	1.2084976093795585
560	CD8+ GNLY+ T cell	-6.097903497393242	-0.28897357748201163
561	CD8+ PD1+ T cell	-1.3557632406401436	4.370008089748078
562	CD4+ T cell	0.2652154554629782	-3.7521974575080588
563	CD8+ PD1+ T cell	-1.019484024436744	2.6548890341509566
564	CD4+ Treg cell	5.9161940999384655	-1.545778993420554
565	CD8+ CXCR4+ T cell	-1.6786042551084341	2.007039578474018
